,comment text,toxic,score,contains toxic keywords
0,hello everyone im just here to tell you that youre all freaks,yes,0.62136006,2
1,  to be blunt so what  what does that have to do with improving the article   ,no,0.104795754,1
2,agreed moreover the recent additions place an undue emphasis on arguments in court briefs much of which will become far less salient after the supreme court actually decides the case in a few months –  ·,no,0.021314176,0
3,thank you for your suggestion when you feel an article needs improvement please feel free to make those changes  wikipedia is a wiki so anyone can edit almost any article by simply following the  link at the top the wikipedia community encourages you to be bold in updating pages dont worry too much about making honest mistakes — theyre likely to be found and corrected quickly if youre not sure how editing works check out how to edit a page or use the sandbox to try out your editing skills  new contributors are always welcome you dont even need to log in although there are many reasons why you might want to,no,0.028385026,6
4,  i am not asking that the article itself draw any conclusions and the rest of your remarks are exactly the kind of synthesis that i desire my remarks are meant to move us past the conflict on the talk page our sources are of course the verifiable secondary sources and we are not to do original research as ctswynekan has said wikipedia is a tertiary source frankly its enough for me that the various christian views are presented fairly and accurately the various jewish views are presented fairly and accurately the various historical views whether by specialists or nonspecialists are presented fairly and accurately and all other views are presented fairly and accurately all should be given the appropriate weight and context that is enough of a synthesis for me   but we all have our subjective views and many of our views have clashed hence we have been bogged down in one paragraph for far too long what bothers me is the binary thinking evidenced by some many not all which has polarized the debate we should also of course be sure not to confuse our various subjective viewpoints with the objective actual verifiable and factual as someone once said so in the end i essentially agree with you my remarks on thesisantithesissynthesis and the rest have to do with the debate on this page not with the article itself i want us to move past conflict so we can examine the verifiable sources and put aside our own views while still making sure that we any we are accurately represented as are the views of others to paraphrase ross perot everybody stop fighting and get to work if youll check youll notice that ive done very little work on the article itself most of my efforts have been focused on the talk page  npov when we reach it will be a synthesis accurately reporting the views of all and referenced to the appropriate verifiable sourcesthat said i have been as frustrated as anyone else and needed to vent my spleen which perhaps presented my pov more strongly than i have in the past does that make it trinary my spleen has been vented my comments will remain on my user page at least until we formulate a second paragraph that does exactly as you say and is accepted by all it may go back if we run into further unresolved conflict  my claim that it is a conundrum alludes to how the issue of historicity is handled at socrates where any debate has been much more peaceful and civilized    ,no,0.19504376,9
5,please stop your disruptive editing if you continue to vandalize wikipedia as you did at warwick school you will be blocked from editing,no,0.25462922,5
6, so i propose merging african bush elephant into african savanna elephant,yes,0.4013387,0
7, a question   i dont understand how they play why they play only 34 games when there are 20 teams  19 x 2  38 games  portland timbers played 3 teams with la galaxy how   maybe someone can explain to me,no,0.01834645,0
8,rob i actually like having you around for no other reason than you have a different pov from those with a christian perspective  however i also find you to be overly disruptive  yes i understand as well as everyone else your position that factual evidence does not exist  yes we understand that there are scholars that support that position  no they are not the majority  they are not even a significant minority  they are a very small group that contends jesus did not exist  you have registered your pov and we are aware of it  i ask that you now move on and address the article as a whole and accept that your position has already been accounted for in the article  when you fight so hard and become so obstinate you lose the respect of your fellow editors and your pov is shut out almost completely  you have become a source of conflict and contention  please recognize that your current methods are not working  find another way to interact with your fellow editors so that your pov is at least a chance of being heard,no,0.24442963,5
9,um that is your opinion i belive dbz tenchaichi 3 and the last of the original bodikai for the ps2 bodikai 3 is just as good as virtua fighter tekken doa and other well known fighting games so come into reality and notice that everything you think is fact that is just base on what you think is highly unimpaortant and is mediocre in the eyes of others that actually do research on the subject you havent even stated anything about the game itself you just started of by saying thats a crappy series or its not any good lol anyway even if you did your research with hardcore evidence that say these games suck huge balls or is poo and the games are a craptistic series and user sabishi kage is indeed a suck up and a yes man that is not neaded here on wikipedia and also if you two are going to start an edit war over something that is not even related to this article and is childish as kim kusanagi paragraph maybe you to should exchange your yahoo user names or myspace user names or whatever to argue but not here on this disscussion page and kim kusanagi when you screw things up you deserved to be bashed and even physically punishedwow you need therapy about child hood realated issues buddy mabey its because of your dad your mom or possibly your grandfather beating on you that is obviously some words said by someone that needs help mentaly most likely due to incidents done when you were a child i mean who say or even type something like that you have only added a useless sentence to this page until you came up with this paragraph that shows you have anger issues you used to get beaten on and you belive what you say goes without any research more clearly without say get your facts straight lol   ,yes,0.39231625,13
10,no sandstein it is not derogatory just because it is not your viewpoint does not change the fact that it is factual if it wasnt the terminology would not exist so get your facts straight before you comment on anything,no,0.06500591,0
11, if the photo is deleted another troll or the same one will simply put it back   unfortunaly trolls are everywhere we just have to be pantient and follow wikipedia policies and etiquete ,yes,0.36456755,2
12,but right now the book is more notable the film isnt out yet,no,0.019100413,2
13,we hate america and we are going to bomb the shit out of there cities quezas will rain,yes,0.8629672,2
14, bold textyou suck     u suck hannah montana,yes,0.89241093,2
15,redirect talkthe amazing race 20,no,0.051563308,0
16,moi ego i am mortified that you could say such a thing  poor old mona i always thiught she was a miserable looking woman  probably hormonal,yes,0.48141238,3
17,  the point is that strains and breeds are not social concepts they are the result of selective breeding in plants and animals very different from the human concept of race  species even more so no human intervention at all but rather a function of biology  a 1966 source isnt going to work here and though  was well rather grumpy you did ask if you were being silly to suggest this and the answer is yes you are   ,yes,0.3811502,2
18,   the current gauntlet to be run   while  encourages us to be bold there are drawback in controversial articles  it helps to know who will tend to revert  based on archive 44 here is the list            more of a commentator than a reverter,no,0.045873325,3
19,unfortunately the site you took the text from suffers from really poor grammar and spelling,no,0.28548008,1
20, see axial tilt,no,0.04067813,1
21,  so on the tenth anniversary of 911 new york times columnist paul krugman delivered the odious piece of dribble ever on the attack  well at least since the last time he wrote about it the headline is quote the years of shame end quote and no its not directed at radical islam instead he targets america and the quote fake heroes krugman claims that the atrocity has been hijacked the sick word given that hes not actually talking about the real hijackers who killed some 3000 americans no hes referring to people like george bush and rudy giuliani who he thinks capitalized on the horrible crimes but the worst part at the end of this column the creep writes im not going to allow comments on the post for obvious reasons that obvious reason hes a coward i mean why else would you ban responses hes like a 10yearold boy crankcalling all of us only to hang up even before he hears a response hearing his shame for his own wickedness now i watch the memorial services and i feel sorrow for the families whose grief never really ends but since im lousy at emotional reflection i usually avoid it but at least i can summarize what many feel today in nine words go to hell paul krugman you bearded bitter buffoon,yes,0.3722269,7
22,  attention  this ip address  is registered to merrimack education center and is shared by multiple users comments left on this page may be received by other users of this ip and appear to be irrelevant caution should be used when blocking this ip or reverting its contributions without checking  if you are an unregistered user operating from this address note that this need not necessarily be the ip address of your machine in many cases it turns out to be the ip address of a proxy server that communicates between your browser and the wikimedia servers such proxies are shared among a huge number of users compared to the number of persons using your particular machine if you are frustrated by irrelevant comments appearing here you can avoid them by creating an account for yourself    ,no,0.07054565,4
23,that site is full of people gnashing their teeth over the fact that theyve been banned from wikipedia only a handful of the contributors there have routinely displayed well thought out and reasoned criticisms of wikipedia  i wouldnt include thekohser in said handful ,no,0.28425202,1
24,ufo university universiteti ufo  what is or was ufo university  apparently you can still see a billboard with this name on it in tirana and the ufo coffeehouse and other places take their name from it  what does the ufo stand for and what has become of it  thanks,no,0.028031485,2
25, well a very small portion of the dragovisticas watershed is in maceodnia the source of the brankovacka reka its tributary is on the border of serbia and macedonia and a small area not more than few square kilometers of its drainage area is within macedonia so i thought it should be noted however my map is detailed but old and it is possible that after corrections of the border in the 1990s the borderline leaves all of it within serbia which if you look at the map would be natural but if you think it is not important it can be omitted,no,0.04686289,3
26,   rexgermanus   greetings im a little concerned about  who is so unrepentant about reverting dutchlanguage 4 times in 26 hours that he has removed all talk his own those of other users admins about his 48hr block from his userpage with the edit summaries apparently wikipedia hasnt got it any more and remove shameful wikipedic punishment that seems to fall into the category of behavior that is unacceptable do you think its worth pursuing this further  ,no,0.24282593,8
27,  support i support the merge  ,no,0.01646154,0
28,cool thanks ill fix this  tom,no,0.02072494,0
29,   a barnstar for you    stylebackgroundcolor fdffe7 border 1px solid fceb92  rowspan2 styleverticalalign middle padding 5px    stylefontsize xlarge padding 3px 3px 0 3px height 15em  the barnstar of good humor    styleverticalalign middle padding 3px  for that fantastic userpagehehehe      ,no,0.04315203,2
30, anthony browne in political correctness   hello im contacting you because the anthony browne bit you added to the article political correctness was removed httpsenwikipediaorgwindexphptitlepoliticalcorrectnessdiff690760560oldid690751090  if you would like to have it stay then come to the talk page and state so httpsenwikipediaorgwikitalkpoliticalcorrectnesscivitasthinktankpamphlet  i for one am for it,no,0.019477395,5
31,simple you are stupid,yes,0.90451443,1
32,the only group the us is unambiguously supportive of is the kurds,no,0.112746716,1
33,   you have my trust but trust me on this checkuser work will just eat you up burn you out and i guarantee youll hate it seriously    ,yes,0.5559701,1
34,  blp  ive removed some contentious unsourced material per wpblp could the editors who want to add this please cite some reliable sources here on talk ive also semiprotected because the material was restored by an anon ip many thanks   ,no,0.03357032,1
35,   a little late but   andy i just noticed this  i feel you should know that sledge did not delete your comment i did your post was not appropriate anywhere on wikipedia even addressed to a troll or idiot   ,yes,0.5716857,3
36, and isep is incresing in prestige even more you should know porto better and from were many big fish studied what a stupid conversation again,yes,0.60311776,4
37,great,no,0.023317585,0
38, islam and slavery   is wikipediaarticles for deletionislam and slavery  would you care to vote thx,yes,0.44573322,2
39,  we dont include honnorifics outside the intitial mention in the blp of the person  it is clearly being used here to puff up the claim made by krugman and it doesnt help that krugman has turned from economist to partisan commentator over the past few years  furthermore once you start including the honorrific titles of some you have include them for all  after your contentious discussion regarding conservative above i would have thought you had come to some rational level of thought  why should we not label krugman a liberal since he calls himself that and it is a dominant aspect of his opinion    ,no,0.1641865,1
40,   sleeper woody allen film   in view of its creator and star woody allen the movie sleeper is satire of trends of the 1970s placed in a futuristic setting im giving as an anachronism a reference to a historical event the abandonment of clerical celibacy by the roman catholic church in which a character finds a 1990 newspaper that refers to the wife of the pope having children such would not happen for at least 24 years after the time suggested in the newspaper    nobody says that this movie is orthodox science fiction note that tobacco and junk food have been found wholesome and organic foods have been found harmful in an orwellian world but a reference to a 1990 event that is shown to be impossible because a prediction of an institutional change that does not happen for a significant time later becomes an anachronism after 1991   ,no,0.10739898,3
41,referenced content removed too  moonriddengirl decided to remove information cited to secondary news sources removing the sources   too this is all going a bit too far in my view and id normally consider myself a deletionist,no,0.10870059,0
42, jjjjjjjjjjjjjjjjjjjjj   caguei aqui hihi,no,,0
43,  i think the i is lowercase wikipedia capitalised the i most likely  ,no,0.09033044,1
44, ill be there   ,no,0.025203144,0
45,i cant help but agree with you on both of the above points a live link properly cited referenceit goes in the pov is that its a fact,no,0.028856417,0
46,jack dion really bikes karly so much he wants to do a jamiw on her,yes,0.37751234,1
47, utc   and i strongly agree we know nothing because pots regrettably cannot speak up to now and let me cancel   one more sentence critics of these efforts object to the potential circularity of the logical basis since kloekhorst and kortlandt are both members of the leiden school of indoeuropean linguistics and often write mutually supportive works because writing mutually supportive works may but must not necessarily imply circularity   0808 19 november 2012,no,0.10696511,0
48, incorrect information about bury lawn school     bury lawn school was not founded by rennee soskin in 1970 as stated in your history section  bury lawn school was founded in the spring of 1940 by miss iris aylward michell and miss katharine myrtle michell as in depth research and webber independent school will verify the school was sold in 1970 and continued to be run from the same address bury lawn union street newport pagnell until 1987 when it was moved to milton keynes where in 20102011 the name was changed to webber independent school  a k michell,no,0.051563308,3
49,you can keep reverting me to push your wpundue viewpoints til i take it to wpblpn if you want i wont discuss it any longer   🗽,no,0.23415339,2
50,what the hell are you doing,yes,0.6544696,1
51,   thanks   hi pburka you dont know me but i just wanted to say thank you for this comment you made at anew regarding 155blues edit warring report against me for edits on my own talk page believe it or not she also reported my supposed edit warring at the vandalism noticeboard which of course was quickly dumped she has apparently been educated several times about what vandalism is but she continues to falsely accuse and report other editors of it and she ignored me when i educated her about wp3rr and wpnot3rr i see that she also issued you a bogus warning just above this thread without a signature yet again she doesnt know the difference between wpprod and wpafd which doesnt surprise me because she warned me about moving a warning  on my own talk page no less  that was actually a template the most concerning issue though is that she only has 300 or so edits  most of them in the past four months  and has shown a pattern of of rashly issuing warnings to and filing reports at various noticeboards about editors even very experienced ones like yourself this pattern of hers seems to indicate that she prefers to go straight to noticeboards instead of having proper discussions with editors first even though some of the editors are vastly more experienced than her and the allegations are flawed anyway just wanted to say thanks for the very onpoint comment you made   ,no,0.30854854,9
52, i rule u drule  lol   mediaexampleoggsfdgfanfui4ncdrrnrfkldlczskuf     43444 67829045871435894n  ffdkasflrewcsor vsporjcsoiejfnmdkifnsmmdifnrkv9rm40tmf04 43kf v jjfgjakfajdf    fjaflasdjfhaksdfhaehflkdkhfdlkahfuhfwehfiuyflewafuhyuifhefuyyyfyfyfyfyfyfyyfyfyfyfyfyfyfyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyaaaaaaaaaaaaaaaaaauipadfk4jshdjfhrejdbold textitalic textlink titlegggggggggggginsert nonformatted text heremediaexampleoggmediaexampleogglink titlelink titlelink titleitalic textbold textggbold text,no,0.30993456,1
53,image source  thank you for uploading imagehp57ajpg its copyright status is unclear so it may have to be deleted please leave a note on the image page about the source of the image thank you,no,0.023671126,2
54,   a quick favour   is there any chance you could do a quick source check for lbw noone has asked for one but it is perhaps better to make sure all the boxes are ticked no problem if you dont have time and good to see cricketer on the front page   ,no,0.04711028,3
55,  wow they are sooooooo similar more similar than the bulgarian and hungarian flag or the greek and british east india flag this is soooo interesting please add this to the article so that human knowledge can be further enriched  ,no,0.08716487,2
56,can somebody please change the thrid placed teams qualifying to the 3rd qualifying round as it is not the playoff round look ar at the 1415 champions league if you want proof and the 1213 ligue 1,no,0.013697007,0
57,you might notice that theres been some discussion of the topic above,no,0.0201057,0
58, gay   hes gay too it should be noted that he has a male partner,yes,0.5532103,1
59,remove the h from the balcony and load his sportscar onto a flatbed truck,yes,0.37576625,0
60,i am not joking,no,0.036162965,0
61,being drunk made gibson say what he really believes the little freak is a nazi like his father and i hope he dies of lung cancer soon,yes,0.7761081,6
62,   idsa campaign   the article mentions some campaign stating as a result those with the resources begin dumping neogeo roms as fast as they can get their hands on them which only adds fuel to the idsa campaigns fire the idsa isnt mentioned anywhere else in the article and no link is provided to explain who they are also the verb tenses in the content around this sentence are all in the present form begin instead of began can instead of could leading me to think this section may have been plagiarized  anybody have any insight   ,no,0.112746716,2
63, a simple exercise,no,0.022728346,0
64,on you statementthe current government of china is equally guilty i agree with you whole heartly my view or opinion or whatever you called you can see clearly on editions i contributed on 2008 chinese milk scandal put it this way i never did like communists,no,0.25462922,3
65,   please do not vandalize pages as you did with this edit to indigenous language if you continue to do so you will be blocked from editing   ,no,0.200795,4
66,i have merged the articles hopefully few people will disagree with the edit under trivia thats what it is for windows 95 anyway oh and thanks to schmuckythecat for pointing out that its oobe thus being in the oobe folder    ,no,0.15987846,3
67,  reply  thanks for the comment look at evans pg 2 for an example of the two being connected under the banner of optimism also i am not sure i understand your argument doesnt suggesting that the specific words nuclear optimism must appear in every reference would violate wpnad isnt that like saying that if a book only talks about cars then it is inappropriate to use as a reference for automobile and regardless why would this imply deletion rather than one of the other options  thanks again   ,no,0.038991302,3
68,a few questions that need resolving regarding this article  1 why the inclusion of the actions of individuals surely the point of corporate behaviour is that it is the action of a corporation in itself although these actions may not always be the intended ourcome of any individuals involved furthermore whilst the effects of corporate behaviour on individuals may be a useful sociological side effect i do not see this as central to the issue of corporate behaviour  2 i think an explicit division needs to be made between businesscapitalist corporations and noncapitalist corporations ngos charities etc as i think the proposed rules of corporate behaviour can only be seen to apply to capitalist corporations  if noone disagrees with this would people like me to attempt these changes removal of references to indiviudals creation of distinction between business and nonbusiness coporations  muppet317 121205,no,0.030977672,3
69,born carissarae manalang artificio birthday on the 16071997 loves to model sing act and dance   born and currently lives in england london parents are both from the philippines   im a huge fan of twilight and all the vampire and werewolf stuffim also a fan of ndubz tynisha keli and nicole scherzinger  attended our lady of grace rc primary school and is currently attending stursulas humanities college school for girls  loves to watch fireworks and movies enjoys being around her friends and family escpecially at parties  ,no,0.081625134,2
70,hey shithead stop vandilizing articles,yes,0.8696708,3
71,random u here just wanted to let everyone know that this entire deal is pathetic and i hope everyone who banned fearofreprisal from making correct edits to your insane and ignorant cause lose their editing privileges,yes,0.5972042,3
72,not very happy with this lot either temporary highpoint ii here,no,0.03592727,0
73,  i think the motd is a waste of time  ,no,0.3127066,1
74,the issue is not whether the conspiracy theory has validity but that it was being talked about thats the point of the strib reference  ,no,0.056263726,0
75,red tape bureaucracy corruption political corruption bribery extortion graft money laundering all are part and parcel of religon,yes,0.36095104,0
76,japanonly media  eaglestorm and dandy sephy  as per wpmosam this section can include as appropriate separate subsections for information on the original version of the work as well as any related anime seriesovas manga novels movies video games and other media such as soundtracks and drama cds  these sections should in general include the original release  broadcast information as applicable and english license and release  broadcast information    as per wpnpov i am not attempting to remove the information that you feel is unimportant  ,no,0.04166769,2
77, freeway 2   definitely one of the most difficult movies to watch  necrophilia crack guns lesbians a crazy cult bondage bulimia prostitution you name it this movies got it  oddly compelling sometimes unintentionally funny and altogether disturbing,yes,0.50503236,2
78, his paternal greatgreatgrandmother was a fullblooded cherokee,yes,0.47473195,0
79,why is this linked to birmingham when it is pretty obviously in dublin,no,0.024731753,0
80,imdb never actually stated tammy windsor and karyn kupcinet were the same person strangely enough they were two separate entries that didnt connect one to the other and at some point they were merged my guess is someone emailed imdb and claimed they were the same person and imdb merged the two regardless the statement is always something that bugged me and i agree that it should be removed once we get to that section,no,0.07845957,1
81,vivek is a bad boy   btech graduate,yes,0.42129645,1
82,someone keeps editing this page and changing the track list i have the correct track list up ther eand i put sources and everything so sop changing it unless you can source it,no,0.09525062,2
83, ps2 version   i want the japanese guy to upgrade the ps2 to playstation 2 hidephinition i want him to fight back xbox 360 and my ps2 version will never give up this game may or may not be the best but we may have to find out  29 july 2006,no,0.103060275,1
84,oppose it doesnt hurt to mention bach some searching for just french suites will find the same,no,0.03015274,0
85,glen waverley secondary college  thanks for you great work in revising this page,no,0.009675868,1
86,  you sure did  merry christmas   styleborder 1px solid gray backgroundcolor fdffe7  rowspan2 valignmiddle    rowspan2   stylefontsize xlarge padding 0 verticalalign middle height 11em  the original barnstar    styleverticalalign middle bordertop 1px solid gray  for exceptional diligence in new page patrolling and the marking of vandalism for deletion it is my pleasure this day to bestow an original barnstar on newt winkler  thanks for your help     ,no,0.10045706,4
87,or did you mean amn  aman   ,no,0.03639866,1
88,i dont understand this at all laodah you put invisible markup in text thinking that this will prevent someone from changing it guess what bbb just did no there is no policy i think that says you cant do exactly what you were doing but we do have policies against disruption we also have a guideline on editors with a conflict of interestyour use of the first person plural suggests that you do,no,0.11398677,1
89,i refuse to be bullied sorry where did masem and jacobite break down my edits again a conspiracy againt me i was merely commenting on their behaviour i reached out to fluff because he seems helpful more experienced as an admin and went through the same thing with you,no,0.25462922,2
90,kinseys methods are called into question by some but the impact of his study is actually listed by a few sources as a groundbreaking change in perception about sexuality and i seriously considered including it in the article hookers study specifically asked men about their own selfsatisfaction and happiness i get your point  at least i think i do but hookers work is cited regularly as the beginning of a change in ideas about homosexuality im reflecting hookers work with due weight since it is mentioned by the sources i read ill be happy to take ideas about wording and syntax though,no,0.3389984,4
91,thank god im an atheist      ,no,0.06025757,0
92,this message is regarding the page original position please refrain from adding nonsense to wikipedia  it is considered vandalism  if you would like to experiment use the sandbox,no,0.17458448,4
93,  alright thank you  —    ,no,0.0073197307,1
94,i removed the section richestbest educated zip code  i didnt understand what it meant how can waban be the richestbest educated zip code without being the richest  also how do we define best educated  i looked at the census data for 02468 and there are lots of statistics that might mean best educated largest fraction with bachelors degrees smallest fraction of high school dropouts etc    id be glad to see this section come back if someone could sharpen it to some verifiable fact and provide a reference  it would be very interesting if it were true that for instance waban has a higher fraction of people with graduate degrees than any other zip code    the census bureau page for waban is at  httpfactfindercensusgovservletqttablebmygeoid86000us02468qrnamedec2000sf3udp2dsnamedec2000sf3ulangensseon   ,no,0.044636376,4
95,where i feel like a man instead of an idiot,yes,0.6667219,2
96,an alternative to spamming talk pages  actually wprm is on my watchlist  a less antisocial alternative to spamming some thirty user talk pages as you appear to have done also one that is less likely to get you accused of trying to stack a vote is to place a notice on the hot topic watchlist ,no,0.15048122,1
97, jkdqpoiwjfijejj   fjoehoiklwlwllwlofiikekekkeiekekkejoikwjojfkjejoidjlakjkdjo dont use wikipedia it is evil leoijcjwflejfoijsljlkfjoiewjjeijwsiofujeoiwjfkldsjlkjfieisaoajfejoijidieljfiejaieeieilddosjflajoakjehfoijjejojoifheia,no,,2
98,as pointed out on math overflow httpmathoverflownetquestions11774differencebetweenequivalencerelationsonalgebraiccycles the definition of algebraic equivalence is not correct,no,0.020960633,0
99,thank you for understanding i think very highly of you and would not revert without discussion,no,0.017089844,1
100,dear god this site is horrible,yes,0.40336934,0
101, somebody will invariably try to add religion  really  you mean the way people have invariably kept adding religion to the samuel beckett infobox  and why do you bother bringing up the longdead completely nonexistent influences issue  youre just flailing making up crap on the fly   for comparison the only explicit acknowledgement in the entire amos oz article that he is personally jewish is in the categories     ,yes,0.4269174,5
